country,count
USA,49
SOUTH AFRICA,6
ITALY,4
AUSTRALIA,4
ENGLAND,3
GERMANY,3
MEXICO,2
DENMARK,2
CANADA,2
FRANCE,1
SLOVAKIA,1
NEW ZEALAND,1
IRELAND,1
HUNGARY,1
TAIWAN,1
ISRAEL,1
BELGIUM,1
SWEDEN,1
SPAIN,1
