title,location,date,country,year,period
A SAGA OF FREEDOM CULMINATES IN IDEAL CHURCH COMING TO LIFE IN BUDAPEST,"BUDAPEST, HUNGARY","SATURDAY, JULY 23, 2016",HUNGARY,2016,2010–2016
CHURCH TRANSFORMS TWO CLEARWATER BUILDINGS INTO MAGNIFICENT CITY LANDMARKS,"CLEARWATER, FLORIDA","SATURDAY, JUNE 25, 2016",USA,2016,2010–2016
SCIENTOLOGY MEDIA PRODUCTIONS LAUNCHES IN HOLLYWOOD,"LOS ANGELES, CALIFORNIA","SATURDAY, MAY 28, 2016",USA,2016,2010–2016
ATLANTA’S SPIRIT OF FREEDOM SHINES BRIGHT AS GEORGIA’S FIRST IDEAL SCIENTOLOGY CHURCH OPENS,"ATLANTA, GEORGIA","SATURDAY, APRIL 2, 2016",USA,2016,2010–2016
CHURCH OF SCIENTOLOGY DEDICATES LANDMARK BUILDING AT SPIRITUAL HEADQUARTERS,"CLEARWATER, FLORIDA","SUNDAY, JUNE 29, 2014",USA,2014,2010–2016
NEW IDEAL ORG IN THE HEART OF AUSTRALIA’S HARBOR CITY,"SYDNEY, AUSTRALIA","SATURDAY, MAY 3, 2014",AUSTRALIA,2014,2010–2016
AN IDEAL ORG AT THE GATEWAY OF THE CHINESE-SPEAKING WORLD,"KAOHSIUNG, TAIWAN","SATURDAY, DECEMBER 7, 2013",TAIWAN,2013,2010–2016
CHURCH OF SCIENTOLOGY MISSION OPENS DOORS TO NEW HOME IN LOS FELIZ,"LOS ANGELES, CALIFORNIA","SUNDAY, AUGUST 25, 2013",USA,2013,2010–2016
NEW IDEAL CHURCH OF SCIENTOLOGY BLOOMS IN THE CITY OF ROSES,"PORTLAND, OREGON","SATURDAY, MAY 11, 2013",USA,2013,2010–2016
SOUTH AFRICAN CAPITAL HERALDS NEW CHURCH OF SCIENTOLOGY,"PRETORIA, GAUTENG","SATURDAY, FEBRUARY 23, 2013",SOUTH AFRICA,2013,2010–2016
CHURCH OF SCIENTOLOGY CUTS RIBBON ON NEW IDEAL ORG FOR CANADA’S TECHNOLOGY TRIANGLE,"CAMBRIDGE, ONTARIO","SATURDAY, FEBRUARY 9, 2013",CANADA,2013,2010–2016
THOUSANDS CELEBRATE NEW SCIENTOLOGY CHURCH IN RENOWNED HISTORIC VILLA,"PADUA, ITALY","SATURDAY, OCTOBER 27, 2012",ITALY,2012,2010–2016
CHURCH OF SCIENTOLOGY OPENS NATIONAL OFFICE IN D.C. LANDMARK,"WASHINGTON, D.C.","WEDNESDAY, SEPTEMBER 12, 2012",USA,2012,2010–2016
RIBBON FALLS ON IDEAL CENTER OF SCIENTOLOGY FOR THE MIDDLE EAST,"TEL AVIV, ISRAEL","TUESDAY, AUGUST 21, 2012",ISRAEL,2012,2010–2016
BAY AREA SCIENTOLOGISTS REDEDICATE IDEAL CHURCH OF LOS GATOS,"LOS GATOS, CALIFORNIA","SATURDAY, JULY 28, 2012",USA,2012,2010–2016
SCIENTOLOGISTS CUT THE RIBBON ON LANDMARK BUFFALO CHURCH,"BUFFALO, NEW YORK","SATURDAY, JUNE 30, 2012",USA,2012,2010–2016
RIBBON FALLS ON IDEAL ORG IN THE BIRTHPLACE OF SCIENTOLOGY,"PHOENIX, ARIZONA","SATURDAY, JUNE 23, 2012",USA,2012,2010–2016
NEW IDEAL CHURCH OF SCIENTOLOGY FOR THE MILE-HIGH CITY,"DENVER, COLORADO","SATURDAY, JUNE 16, 2012",USA,2012,2010–2016
SCIENTOLOGY REBOOTS IDEAL CHURCH IN SILICON VALLEY,"SAN JOSE, CALIFORNIA","SATURDAY, JUNE 9, 2012",USA,2012,2010–2016
ORANGE COUNTY WELCOMES CHURCH OF SCIENTOLOGY TO HISTORIC HOME,"SANTA ANA, CALIFORNIA","SATURDAY, JUNE 2, 2012",USA,2012,2010–2016
SCIENTOLOGY CHURCH OPENS DOORS TO A TRI-STATE WELCOME,"GREATER CINCINNATI, OHIO","SATURDAY, FEBRUARY 25, 2012",USA,2012,2010–2016
CHURCH OF SCIENTOLOGY INAUGURATES NEW LANDMARK HOME IN CALIFORNIA’S CAPITAL,"SACRAMENTO, CALIFORNIA","SATURDAY, JANUARY 28, 2012",USA,2012,2010–2016
HAMBURG DEDICATES A NEW IDEAL CHURCH OF SCIENTOLOGY FOR GERMANY,"HAMBURG, GERMANY","SATURDAY, JANUARY 21, 2012",GERMANY,2012,2010–2016
CHURCH OF SCIENTOLOGY INGLEWOOD—VIDEO FOOTAGE INSIDE CHURCH,"INGLEWOOD, CALIFORNIA","SATURDAY, NOVEMBER 5, 2011",USA,2011,2010–2016
CHURCH OF SCIENTOLOGY CELEBRATES THE OPENING OF AN ENTIRELY NEW CHURCH IN INGLEWOOD AND COMMUNITY CENTER IN SOUTH LOS ANGELES,"INGLEWOOD, CALIFORNIA","SATURDAY, NOVEMBER 5, 2011",USA,2011,2010–2016
CHURCH OF SCIENTOLOGY CUTS RIBBON ON TWIN CITIES LANDMARK HOME IN MINNESOTA’S CAPITAL OF ST. PAUL,"ST. PAUL, MINNESOTA","SATURDAY, OCTOBER 22, 2011",USA,2011,2010–2016
